folder,file,sha256,feature_id,feature_type,feature_type_cn,status,status_cn,sign,template_slot,component,apex_time_min,start_time_min,end_time_min,width_min,fwhm_min,top_width_ratio,height,prominence,relative_prominence,snr,area,symmetry,bilateral_depth,bilateral_depth_relative,signed_depth_relative,baseline_change_ratio,width_ratio_to_template,rt_error_min,confidence,reasons
2-鼓包谱图类型,A10-CH4赶在鼓包上.CSV,4aff20874b5e38909dd8ce7e78a2bc9da0f6c5db216bbce28f21435c3c0bc0ac,1,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,0.285,0.276666666666667,0.296666666666667,0.019114870986357328,0.012465136535772095,0.4130970728071159,6.803656694091114,0.19704426156109456,0.008767618107434733,7.770399796078659,0.1344983902152698,0.8124427266616205,0.0,0.0,0.30273332070311226,0.0003080949264725358,,,0.0,narrow_or_impulse_like_outside_template
2-鼓包谱图类型,A2-C2H6赶在鼓包干扰.CSV,38dfa9af9638fefc6cd951f6ae4f47cdec39f80006f97fcf9a60c875ce9a0895,2,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,0.533333333333333,0.38,0.646666666666667,0.2654117832142782,0.08695824242870732,0.2430018491150959,115.46196954112673,115.63371487053485,1.0420401890403193,900.6838459286907,11.014517429093752,0.8004209711611673,86.93941424242412,0.7834597699612176,1.0404924956558803,0.0018657996504049784,,,0.0,narrow_or_impulse_like_outside_template
2-鼓包谱图类型,A2-C2H6赶在鼓包干扰.CSV,38dfa9af9638fefc6cd951f6ae4f47cdec39f80006f97fcf9a60c875ce9a0895,5,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T4,,2.435,2.38666666666667,2.52833333333333,0.14130290700475462,0.0777547801880182,0.22967469977934568,0.06695053813701479,0.11423895513801219,0.0010294712276697452,79.28982222898165,0.0031411429172670683,0.5427374268524322,0.07055143722943713,0.0006357785276546728,0.0006033288085119125,0.4381081430350783,0.3823343309759681,0.01666666666667016,0.5922376138066295,rt_score=0.86;width_ratio=0.38;symmetry=0.54;snr=79.3;narrow_flat_or_asymmetric_vs_reference
2-鼓包谱图类型,A3-鼓包干扰.CSV,746dba372db2d7cb85dbab418de6f2ca097ff3f9651cd1347f2793d69547c9e4,3,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T2,,0.463333333333333,0.405,0.595,0.18780387741526605,0.07342526338366281,0.5280155758329215,8.855061555915203,8.891613616758782,0.8889517468539702,1099.0796845506395,0.7116181524960824,0.6949130242352919,6.752218469696958,0.6750626671927717,0.8852974024640193,0.014356721081101571,0.47165301651421737,0.021666666666667,0.48671054525201773,rt_score=0.52;width_ratio=0.47;symmetry=0.69;snr=1099.1;narrow_flat_or_asymmetric_vs_reference
2-鼓包谱图类型,A3-鼓包干扰.CSV,746dba372db2d7cb85dbab418de6f2ca097ff3f9651cd1347f2793d69547c9e4,8,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T4,,2.39666666666667,2.27,2.425,0.15393224669631342,0.11593849359944251,0.3939654343585408,0.00650711190756482,0.032733551248325485,0.00327258344965512,50.63661610956726,0.0002771494666247786,0.16208669509205859,0.028461229437229507,0.002845451986144618,0.0006505577892297816,0.1304910379900989,0.4165065234948233,0.05500000000000016,0.4041860419871628,rt_score=0.55;width_ratio=0.42;symmetry=0.16;snr=50.6;narrow_flat_or_asymmetric_vs_reference
2-鼓包谱图类型,A4-CO2赶上鼓包.CSV,3ba42b724c1cde4506bec966d7fb107137f245c0b0b9ae9310fdb6c8551dcc87,12,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T5,,2.86333333333333,2.755,2.94166666666667,0.18363288839527114,0.10092565760644426,0.09390885328957667,0.013642993253678213,0.021330108240005752,0.0029549469676247255,35.738141102815945,0.0008925165419132739,0.15234683388631415,0.0,0.0,0.0018900195484554258,105.45862130718946,0.5279379599020075,0.14083333333333492,0.2383842217403062,rt_score=0.06;width_ratio=0.53;symmetry=0.15;snr=35.7;narrow_flat_or_asymmetric_vs_reference
2-鼓包谱图类型,A4-CO2赶上鼓包.CSV,3ba42b724c1cde4506bec966d7fb107137f245c0b0b9ae9310fdb6c8551dcc87,17,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.06166666666667,3.99,4.165,0.17244420817008807,0.10662702139015279,0.20511191135572607,0.005417422824525732,0.011523668195885501,0.0015964207967533583,35.17410606906295,0.00025340186199855017,0.5009890581370657,0.0,0.0,0.00075049769872471,40.21564084885862,0.40023325315480746,0.18666666666666032,0.28325900947401206,rt_score=0.12;width_ratio=0.40;symmetry=0.50;snr=35.2;narrow_flat_or_asymmetric_vs_reference
2-鼓包谱图类型,A4-CO2赶上鼓包.CSV,3ba42b724c1cde4506bec966d7fb107137f245c0b0b9ae9310fdb6c8551dcc87,18,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.21,3.98833333333333,4.29166666666667,0.3026954515011334,0.1001907593985076,0.15118350581930498,0.007572161953920029,0.015055191493462159,0.0020856571354465653,42.184071885602854,0.0006141495226333609,0.42763719348109747,0.0,0.0,0.00104900250633202,48.98052484727796,0.7025390214901759,0.038333333333330444,0.7036933598255846,rt_score=0.82;width_ratio=0.70;symmetry=0.43;snr=42.2;narrow_flat_or_asymmetric_vs_reference
2-鼓包谱图类型,A7-小鼓包干扰.CSV,cf3957533ed55d4e6e71a85df248b0f50942de6611541d16641242d2cd93ebef,1,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,0.433333333333333,0.376666666666667,0.495,0.11740500569096307,0.07127693618378708,0.2424286924648429,3.7438443169855997,3.0288398763446027,0.2755496547663925,212.84965209409427,0.2889884230826995,0.9944322692395543,2.325923335497832,0.2116016026845934,0.3405974073114493,0.013093127236260962,,,0.0,narrow_or_impulse_like_outside_template
2-鼓包谱图类型,A7-小鼓包干扰.CSV,cf3957533ed55d4e6e71a85df248b0f50942de6611541d16641242d2cd93ebef,2,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,0.565,0.37,0.755,0.3826238181892115,0.09299960802570617,0.31524943404814026,10.181545290043616,10.212747988265074,0.9291079414138157,717.6938844487013,1.3378002570728618,0.9728489629986927,7.215271266233755,0.6564115594172735,0.9262692661870886,0.005520314473062715,,,0.0,narrow_or_impulse_like_outside_template
